,House Url,Facts and Features,Address
0,https://www.zillow.com/alexandria-va/houses//homedetails/229-N-Henry-St-Alexandria-VA-22314/192120889_zpid/,"3 bds · 2 ba · 1,208 sqft",229 N Henry St Alexandria VA 22314
1,https://www.zillow.com/alexandria-va/houses//homedetail/AuthRequired.htm?r=pfc&zpid=249463575,"Studio · 1 ba · 1,024 sqft",Edison St Alexandria VA 22305
2,https://www.zillow.com/alexandria-va/houses//homedetails/4431-Venable-Ave-Alexandria-VA-22304/192133410_zpid/,"3 bds · 2 ba · 1,367 sqft",4431 Venable Ave Alexandria VA 22304
3,https://www.zillow.com/alexandria-va/houses//homedetails/3301-King-St-Alexandria-VA-22302/192132448_zpid/,"5 bds · 3 ba · 2,400 sqft",3301 King St Alexandria VA 22302
4,https://www.zillow.com/alexandria-va/houses//homedetails/2508-Leslie-Ave-Alexandria-VA-22301/192125357_zpid/,"4 bds · 3 ba · 1,665 sqft",2508 Leslie Ave Alexandria VA 22301
5,https://www.zillow.com/alexandria-va/houses//homedetails/3655-Trinity-Dr-Alexandria-VA-22304/192133694_zpid/,"3 bds · 3 ba · 2,269 sqft",3655 Trinity Dr Alexandria VA 22304
6,https://www.zillow.com/alexandria-va/houses//homedetails/109-Ashby-St-Alexandria-VA-22305/192125680_zpid/,"5 bds · 4 ba · 3,950 sqft",109 Ashby St Alexandria VA 22305
7,https://www.zillow.com/alexandria-va/houses//homedetails/110-S-Pitt-St-Alexandria-VA-22314/2085545498_zpid/,"6 bds · 7 ba · 10,112 sqft",110 S Pitt St Alexandria VA 22314
8,https://www.zillow.com/alexandria-va/houses//homedetails/620-Mckenzie-Ave-Alexandria-VA-22301/2085762654_zpid/,"3 bds · 3 ba · 2,721 sqft",620 Mckenzie Ave Alexandria VA 22301
9,https://www.zillow.com/alexandria-va/houses//homedetails/1001-Woods-Pl-Alexandria-VA-22302/192132375_zpid/,"3 bds · 2 ba · 2,295 sqft",1001 Woods Pl Alexandria VA 22302
10,https://www.zillow.com/alexandria-va/houses//homedetails/605-Malcolm-Pl-Alexandria-VA-22302/192129508_zpid/,"7 bds · 7 ba · 4,050 sqft",605 Malcolm Pl Alexandria VA 22302
11,https://www.zillow.com/alexandria-va/houses//homedetails/2415-Davis-Ave-Alexandria-VA-22302/192130801_zpid/,"4 bds · 3 ba · 2,400 sqft",2415 Davis Ave Alexandria VA 22302
12,https://www.zillow.com/alexandria-va/houses//homedetails/4631-Raleigh-Ave-Alexandria-VA-22304/192134453_zpid/,"3 bds · 2 ba · 1,175 sqft",4631 Raleigh Ave Alexandria VA 22304
13,https://www.zillow.com/alexandria-va/houses//homedetails/3002-Farm-Rd-Alexandria-VA-22302/192132917_zpid/,"4 bds · 4 ba · 2,770 sqft",3002 Farm Rd Alexandria VA 22302
14,https://www.zillow.com/alexandria-va/houses//homedetails/304-Virginia-Ave-Alexandria-VA-22302/192129342_zpid/,"6 bds · 5 ba · 4,965 sqft",304 Virginia Ave Alexandria VA 22302
15,https://www.zillow.com/alexandria-va/houses//homedetails/31-E-Maple-St-Alexandria-VA-22301/192124201_zpid/,"3 bds · 3 ba · 1,904 sqft",31 E Maple St Alexandria VA 22301
16,https://www.zillow.com/alexandria-va/houses//homedetails/1034-N-Chambliss-St-Alexandria-VA-22312/192137882_zpid/,"5 bds · 2 ba · 2,340 sqft",1034 N Chambliss St Alexandria VA 22312
17,https://www.zillow.com/alexandria-va/houses//homedetails/2502-E-Randolph-Ave-Alexandria-VA-22301/192125383_zpid/,"3 bds · 2 ba · 1,777 sqft",2502 E Randolph Ave Alexandria VA 22301
18,https://www.zillow.com/alexandria-va/houses//homedetails/607-Oronoco-St-Alexandria-VA-22314/192122538_zpid/,"6 bds · 5 ba · 8,145 sqft",607 Oronoco St Alexandria VA 22314
19,https://www.zillow.com/alexandria-va/houses//homedetails/5139-Echols-Ave-Alexandria-VA-22311/192138327_zpid/,"3 bds · 2 ba · 1,200 sqft",5139 Echols Ave Alexandria VA 22311
20,https://www.zillow.com/alexandria-va/houses//homedetails/1665-Francis-Hammond-Pkwy-Alexandria-VA-22302/192132035_zpid/,"3 bds · 2 ba · 1,178 sqft",1665 Francis Hammond Pkwy Alexandria VA 22302
21,https://www.zillow.com/alexandria-va/houses//homedetails/2301-E-Randolph-Ave-Alexandria-VA-22301/192125542_zpid/,"5 bds · 4 ba · 4,100 sqft",2301 E Randolph Ave Alexandria VA 22301
22,https://www.zillow.com/alexandria-va/houses//homedetails/56-S-Gordon-St-Alexandria-VA-22304/192133189_zpid/,"3 bds · 1.5 ba · 1,324 sqft",56 S Gordon St Alexandria VA 22304
23,https://www.zillow.com/alexandria-va/houses//homedetails/228-W-Windsor-Ave-Alexandria-VA-22301/192152525_zpid/,"6 bds · 6 ba · 6,867 sqft",228 W Windsor Ave Alexandria VA 22301
24,https://www.zillow.com/alexandria-va/houses//homedetails/224-S-Lee-St-Alexandria-VA-22314/192123640_zpid/,"6 bds · 4.5 ba · 5,259 sqft",224 S Lee St Alexandria VA 22314
