,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,School ID,Private School Name,Private Low Grade,Private High Grade,Private Address,PSS_COUNTY_NO
0,VA-029-0292244,5101260.0,VA-029,†,†,Achievement Integrity And Maturity,FAIRFAX CO PBLC SCHS,Fairfax County,c/o Kathryn Salerno,Alexandria,,,,,,
1,VA-029-0292212,5101260.0,VA-029,†,†,ALC at Bryant,FAIRFAX CO PBLC SCHS,Fairfax County,2709 Popkins Ln,Alexandria,,,,,,
2,VA-029-0292246,5101260.0,VA-029,†,†,ALC at Montrose,FAIRFAX CO PBLC SCHS,Fairfax County,6525 Montrose St,Alexandria,,,,,,
3,VA-029-0290560,5101260.0,VA-029,PK,6,Belle View Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,6701 Fort Hunt Rd,Alexandria,,,,,,
4,VA-029-0290940,5101260.0,VA-029,PK,5,Bren Mar Park Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,6344 Beryl Rd,Alexandria,,,,,,
5,VA-029-0292201,5101260.0,VA-029,7,12,Bryant High,FAIRFAX CO PBLC SCHS,Fairfax County,2709 Popkins Ln,Alexandria,,,,,,
6,VA-029-0290700,5101260.0,VA-029,PK,6,Bucknell Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,6925 University Dr,Alexandria,,,,,,
7,VA-029-0290680,5101260.0,VA-029,PK,6,Bush Hill Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,5927 Westchester St,Alexandria,,,,,,
8,VA-029-0290620,5101260.0,VA-029,PK,6,Cameron Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,3434 Campbell Dr,Alexandria,,,,,,
9,VA-101-1010120,5100120.0,VA-101,PK,5,Charles Barrett Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,1115 Martha Custis Dr,Alexandria,,,,,,
10,VA-029-0291870,5101260.0,VA-029,PK,6,Clermont Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,5720 Clermont Dr,Alexandria,,,,,,
11,VA-101-1010160,5100120.0,VA-101,PK,5,Cora Kelly Magnet Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,3600 Commonwealth Ave,Alexandria,,,,,,
12,VA-101-1010110,5100120.0,VA-101,PK,5,Douglas Macarthur Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,1101 Janneys Ln,Alexandria,,,,,,
13,VA-029-0291270,5101260.0,VA-029,9,12,Edison High,FAIRFAX CO PBLC SCHS,Fairfax County,5801 Franconia Rd,Alexandria,,,,,,
14,VA-029-0292447,5101260.0,VA-029,†,†,Edison High School Academy,FAIRFAX CO PBLC SCHS,Fairfax County,5801 Franconia Rd,Alexandria,,,,,,
15,VA-029-0291920,5101260.0,VA-029,PK,6,Fort Hunt Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,8832 Linton Ln,Alexandria,,,,,,
16,VA-101-1010140,5100120.0,VA-101,6,8,Francis C. Hammond Middle,ALEXANDRIA CITY PBLC SCHS,Alexandria city,4646 Seminary Road,Alexandria,,,,,,
17,VA-029-0290320,5101260.0,VA-029,PK,6,Franconia Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,6301 Beulah St,Alexandria,,,,,,
18,VA-101-1010100,5100120.0,VA-101,PK,5,George Mason Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,2601 Cameron Mills Rd,Alexandria,,,,,,
19,VA-101-1010130,5100120.0,VA-101,6,8,George Washington Middle,ALEXANDRIA CITY PBLC SCHS,Alexandria city,1005 Mount Vernon Avenue,Alexandria,,,,,,
20,VA-029-0291170,5101260.0,VA-029,6,8,Glasgow Middle,FAIRFAX CO PBLC SCHS,Fairfax County,4101 Fairfax Pkwy,Alexandria,,,,,,
21,VA-029-0290330,5101260.0,VA-029,PK,6,Groveton Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,6900 Harrison Ln,Alexandria,,,,,,
22,VA-029-0291740,5101260.0,VA-029,PK,6,Hayfield Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,7633 Telegraph Rd,Alexandria,,,,,,
23,VA-029-0291800,5101260.0,VA-029,7,12,Hayfield Secondary,FAIRFAX CO PBLC SCHS,Fairfax County,7630 Telegraph Rd,Alexandria,,,,,,
24,VA-029-0291330,5101260.0,VA-029,PK,6,Hollin Meadows Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,2310 Nordok Place,Alexandria,,,,,,
25,VA-029-0291521,5101260.0,VA-029,6,8,Holmes Middle,FAIRFAX CO PBLC SCHS,Fairfax County,6525 Montrose St,Alexandria,,,,,,
26,VA-029-0291420,5101260.0,VA-029,PK,6,Hybla Valley Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,3415 Lockheed Blvd,Alexandria,,,,,,
27,VA-029-0292235,5101260.0,VA-029,PK,6,Island Creek Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,7855 Morning View Ln.,Alexandria,,,,,,
28,VA-101-1010220,5100120.0,VA-101,PK,5,James K. Polk Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,5000 Polk Ave,Alexandria,,,,,,
29,VA-101-1010090,5100120.0,VA-101,PK,8,Jefferson-Houston Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,1501 Cameron St,Alexandria,,,,,,
30,VA-101-1010230,5100120.0,VA-101,PK,5,John Adams Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,5651 Rayburn Ave,Alexandria,,,,,,
31,VA-029-0292209,5101260.0,VA-029,PK,6,Lane Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,7137 Beulah St,Alexandria,,,,,,
32,VA-101-1010080,5100120.0,VA-101,PK,5,Lyles-Crouch Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,530 S St Asaph St,Alexandria,,,,,,
33,VA-101-1010060,5100120.0,VA-101,PK,5,Maury Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,600 Russell Rd,Alexandria,,,,,,
34,VA-029-0290510,5101260.0,VA-029,PK,6,Mount Eagle Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,6116 N Kings Hwy,Alexandria,,,,,,
35,VA-101-1010030,5100120.0,VA-101,PK,5,Mount Vernon Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,2601 Commonwealth Ave,Alexandria,,,,,,
36,VA-029-0290420,5101260.0,VA-029,9,12,Mount Vernon High,FAIRFAX CO PBLC SCHS,Fairfax County,8515 Old Mount Vernon Rd,Alexandria,,,,,,
37,VA-029-0291640,5101260.0,VA-029,PK,6,Mount Vernon Woods Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,4015 Fielding St,Alexandria,,,,,,
38,VA-901-9010001,5100042.0,VA-901,†,†,Northern Virginia Juvenile Detention Home,DOE SOP EDUC PROGRAMS,Alexandria city,200 S. Whiting St.,Alexandria,,,,,,
39,VA-029-0291030,5101260.0,VA-029,PK,5,Parklawn Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,4116 Braddock Rd,Alexandria,,,,,,
40,VA-101-1010050,5100120.0,VA-101,PK,6,Patrick Henry Elementary,ALEXANDRIA CITY PBLC SCHS,Alexandria city,4643 Taney Ave,Alexandria,,,,,,
41,VA-029-0290901,5101260.0,VA-029,†,†,Pulley Career Center,FAIRFAX CO PBLC SCHS,Fairfax County,6500 Quander Rd,Alexandria,,,,,,
42,VA-029-0291750,5101260.0,VA-029,†,†,Quander Road School,FAIRFAX CO PBLC SCHS,Fairfax County,6400 Quander Rd,Alexandria,,,,,,
43,VA-029-0291820,5101260.0,VA-029,PK,6,Riverside Elementary,FAIRFAX CO PBLC SCHS,Fairfax County,8410 Old Mount Vernon Rd,Alexandria,,,,,,
